<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,5,20170130,224000,121.22,121.23,121.205,121.21,18576
US2.AAPL,5,20170130,224500,121.21,121.255,121.19,121.255,18691
US2.AAPL,5,20170130,225000,121.26,121.26,121.23,121.23,25548
US2.AAPL,5,20170130,225500,121.24,121.25,121.21,121.23,21537
US2.AAPL,5,20170130,230000,121.24,121.275,121.23,121.25,22583
US2.AAPL,5,20170130,230500,121.26,121.275,121.17,121.18,32576
US2.AAPL,5,20170130,231000,121.19,121.22,121.16,121.18,29529
US2.AAPL,5,20170130,231500,121.17,121.22,121.17,121.2,28293
US2.AAPL,5,20170130,232000,121.2,121.21,121.175,121.21,19563
US2.AAPL,5,20170130,232500,121.22,121.24,121.15,121.16,38350
US2.AAPL,5,20170130,233000,121.16,121.17,121.13,121.14,49767
US2.AAPL,5,20170130,233500,121.15,121.19,121.145,121.18,47507
US2.AAPL,5,20170130,234000,121.18,121.18,121.14,121.14,49526
US2.AAPL,5,20170130,234500,121.13,121.19,121.1,121.18,50006
US2.AAPL,5,20170130,235000,121.18,121.3,121.18,121.3,63169
US2.AAPL,5,20170130,235500,121.3,121.57,121.3,121.53,148653
US2.AAPL,5,20170131,0,121.54,121.61,121.51,121.56,118105
US2.AAPL,5,20170131,173500,121.15,121.3,120.85,121,57161
US2.AAPL,5,20170131,174000,121,121.39,120.96,121.35,74272
US2.AAPL,5,20170131,174500,121.34,121.38,121.06,121.23,55608
US2.AAPL,5,20170131,175000,121.23,121.385,121.14,121.15,58236
US2.AAPL,5,20170131,175500,121.14,121.24,121.09,121.11,55561
US2.AAPL,5,20170131,180000,121.1,121.17,121.07,121.16,19419
US2.AAPL,5,20170131,180500,121.16,121.185,120.91,120.94,49577
US2.AAPL,5,20170131,181000,120.94,121.04,120.91,120.96,97306
US2.AAPL,5,20170131,181500,120.95,120.95,120.84,120.91,71896
US2.AAPL,5,20170131,182000,120.91,121,120.9,120.98,94000
US2.AAPL,5,20170131,182500,120.98,121.02,120.92,120.98,83471
US2.AAPL,5,20170131,183000,120.98,121,120.92,120.92,62684
US2.AAPL,5,20170131,183500,120.93,120.95,120.86,120.88,47287
US2.AAPL,5,20170131,184000,120.89,121,120.89,120.91,47722
US2.AAPL,5,20170131,184500,120.89,120.92,120.8,120.82,34010
US2.AAPL,5,20170131,185000,120.83,120.87,120.715,120.72,46854
US2.AAPL,5,20170131,185500,120.73,120.99,120.72,120.95,58985
US2.AAPL,5,20170131,190000,120.97,121.01,120.91,120.92,28579
US2.AAPL,5,20170131,190500,120.91,121.07,120.91,121.07,26881
US2.AAPL,5,20170131,191000,121.07,121.16,121.07,121.09,19265
US2.AAPL,5,20170131,191500,121.08,121.17,121.07,121.11,27463
US2.AAPL,5,20170131,192000,121.12,121.2,121.1,121.155,17055
US2.AAPL,5,20170131,192500,121.155,121.155,121.07,121.11,29382
